dataset,comparison,n_systems,mean_system_mse_improvement,median_system_mse_improvement,ci95_low,ci95_high,sign_flip_p_two_sided,sign_flip_method,n_sign_flips,exploratory,p_holm_16,feature
BRSpeechMOS,full_minus_basic,6,0.0277441526880786,0.0347479887984106,0.0022218623974499,0.0515776133632445,0.09375,exact,64,True,0.28125,
BRSpeechMOS,basic_ced_minus_basic,6,-3.700743415417188e-17,1.1102230246251563e-16,-2.590520390792032e-16,1.8503717077085943e-16,1.0,exact,64,True,1.0,
BRSpeechMOS,core_ced_minus_core,6,0.0378412386509552,0.0363220013070784,0.008920866053298,0.0719837892249328,0.125,exact,64,True,0.28125,
BRSpeechMOS,core_beats_minus_core,6,8.455093991379299e-08,7.78994045311232e-08,2.6864568215823066e-08,1.5638135146082513e-07,0.0625,exact,64,True,0.25,
BVCC,full_minus_basic,187,0.102827663943284,0.0686477243270891,0.0710847148582271,0.1367020990552553,9.99990000099999e-06,monte_carlo,100000,False,0.0001599984000159,
BVCC,basic_ced_minus_basic,187,0.0717580409984972,0.0384654517754998,0.0455994265424255,0.0998228559149192,9.99990000099999e-06,monte_carlo,100000,False,0.0001599984000159,
BVCC,core_ced_minus_core,187,0.058284233232051,0.0301564182522245,0.0357848653766237,0.081809548384323,9.99990000099999e-06,monte_carlo,100000,False,0.0001599984000159,
BVCC,core_beats_minus_core,187,0.0582173241833024,0.0368049715216342,0.0381688536953325,0.0793616331746266,9.99990000099999e-06,monte_carlo,100000,False,0.0001599984000159,
SingMOS,full_minus_basic,35,0.0550861766808161,0.0588229145475712,0.0170854433018177,0.0956316593533904,0.0082299177008229,monte_carlo,100000,False,0.0411495885041145,
SingMOS,basic_ced_minus_basic,35,0.0474379176126167,0.0459177280219278,0.0206255216991588,0.0746964543041205,0.0014599854001459,monte_carlo,100000,False,0.0102198978010213,
SingMOS,core_ced_minus_core,35,0.0662436111300747,0.0493070081796091,0.0380797242605956,0.0947694439368053,6.999930000699993e-05,monte_carlo,100000,False,0.0005599944000559,
SingMOS,core_beats_minus_core,35,0.0416405070236267,0.0333046985949576,0.0182292867193033,0.0673807617207687,0.0015899841001589,monte_carlo,100000,False,0.0102198978010213,
TMHINT-QI,full_minus_basic,97,0.0972593530071063,0.0753321580296972,0.0763863608116826,0.1185125354098552,9.99990000099999e-06,monte_carlo,100000,False,0.0001599984000159,
TMHINT-QI,basic_ced_minus_basic,97,0.0454837739968601,0.0312045409629866,0.0273853388431119,0.0637317615448181,9.99990000099999e-06,monte_carlo,100000,False,0.0001599984000159,
TMHINT-QI,core_ced_minus_core,97,0.0332036703918122,0.0278965166838396,0.0189485596979667,0.0477969925162128,5.999940000599994e-05,monte_carlo,100000,False,0.0005399946000539,
TMHINT-QI,core_beats_minus_core,97,0.0460325498907981,0.040149287394959,0.0322243579268611,0.0600451616294266,9.99990000099999e-06,monte_carlo,100000,False,0.0001599984000159,
